episode,Reward,step_count,goal_log
315,-46.1257156996828,0,60
316,-52.438398185412744,0,60
317,-29.89055960040738,0,60
318,-79.30344588362279,0,60
319,-119.50907793431386,0,60
320,-30.05123742944404,0,60
321,-54.558018606515844,0,60
322,507.822150648418,0,61
323,-81.5320873215081,0,61
324,-28.713719904628036,0,61
325,504.5143582244257,0,62
326,-59.13436227710061,0,62
327,499.8583973714147,0,63
328,-12.922865354646362,0,63
329,-30.053306884188565,0,63
330,-95.01272286095654,0,63
331,514.4723936807101,0,64
332,507.99871083751634,0,65
333,510.0716729896943,0,66
334,504.2865787553323,0,67
335,-12.254730059197435,0,67
336,-29.955959040522067,0,67
337,-102.71313305179883,0,67
338,-29.717839997638226,0,67
339,-99.03988525381277,0,67
340,-26.13095864661215,0,67
341,-69.6325088658328,0,67
342,507.56778304668387,0,68
343,-19.036152025942982,0,68
344,-139.9166078195698,0,68
345,-29.93186082689284,0,68
346,508.11251587764883,0,69
347,509.46300602444666,0,70
348,-27.310002966424786,0,70
349,-1.0055973057031053,0,70
350,-55.503244987262796,0,70
351,-30.135362903619306,0,70
352,-55.07274147082996,0,70
353,-107.26421043777893,0,70
354,-18.054860721975885,0,70
355,-19.067065142563308,0,70
356,-102.9903327791931,0,70
357,-2.3268700052499653,0,70
358,-74.68662680891163,0,70
359,22.545426972970013,0,70
360,514.3419832491978,0,71
361,-73.20945607589653,0,71
362,-62.41674305992717,0,71
363,494.72672035433817,0,72
364,-1.4021704732999254,0,72
365,53.655635753156574,0,72
366,-67.64698389325572,0,72
367,-173.34982781932246,0,72
368,-96.8890540041458,0,72
369,77.2977443413465,0,72
370,-106.85318559525712,0,72
371,-84.31403645219514,0,72
372,3.3109940133235156,0,72
373,-47.290201394966914,0,72
374,-30.11741089555615,0,72
375,-72.28573364633407,0,72
376,504.577135087696,0,73
377,506.9417422710591,0,74
378,-121.38944543806377,0,74
379,-116.35583222049716,0,74
380,-85.2401835089351,0,74
381,512.1627739519696,0,75
382,-28.269570202262294,0,75
383,-151.26174661177865,0,75
384,-30.51239650197422,0,75
385,-2.1745163439384214,0,75
386,-43.64633328113248,0,75
387,-55.28584134560922,0,75
388,-12.7157977962842,0,75
389,-82.64792438220891,0,75
390,-129.2714261635794,0,75
391,-4.204880127031338,0,75
392,-55.736556695079244,0,75
393,-84.09854423719935,0,75
394,-58.7003187917815,0,75
395,-30.18748720684271,0,75
396,488.78694195497957,0,76
397,507.7829980201209,0,77
398,509.9835627553839,0,78
399,-2.225235162904511,0,78
400,-13.215632603739145,0,78
401,-82.04771723569816,0,78
402,-30.127887890203304,0,78
403,-88.61082358180792,0,78
404,-30.261359645213684,0,78
405,494.99081750195387,0,79
406,-267.25638808564827,0,79
407,-55.8878285619226,0,79
408,-43.51576340105706,0,79
409,-70.36661001054557,0,79
410,42.081462626369635,0,79
411,-49.316632525669945,0,79
412,-60.10654430253771,0,79
413,-44.149513577757155,0,79
414,-43.53028061155661,0,79
415,490.3904005734905,0,80
416,-14.586336503618298,0,80
417,514.3556545749896,0,81
418,-59.835495579721744,0,81
419,-31.54550210868269,0,81
420,513.6833761064415,0,82
421,507.69345798391817,0,83
422,-9.499288997964847,0,83
423,-48.21062318771703,0,83
424,-51.36768408622579,0,83
425,-51.62155018937906,0,83
426,-37.167475542806315,0,83
427,-22.2692779016388,0,83
428,-40.44970127660128,0,83
429,519.1633155445933,0,84
430,-15.625689350737105,0,84
431,513.3441191621437,0,85
432,510.9341666867544,0,86
433,497.4948099268909,0,87
434,-14.94146334821469,0,87
435,-43.56793530561217,0,87
436,-22.994491320431568,0,87
437,511.2446818249167,0,88
438,509.5311622981312,0,89
439,488.7745459213316,0,90
440,511.7857168349519,0,91
441,-59.93418528360152,0,91
442,577.8668598528814,0,92
443,422.69514390485057,0,93
444,501.88059401765173,0,94
445,-43.603302544403164,0,94
446,-48.75101425213584,0,94
447,25.44793711208821,0,94
448,502.4668237532843,0,95
449,494.2832181641855,0,96
450,500.93183256279616,0,97
451,506.0945904204853,0,98
452,-15.049626774892285,0,98
453,-104.24096995806909,0,98
454,17.89072946392995,0,98
455,513.5518334418844,0,99
456,-32.0959628235143,0,99
457,-41.0430047797606,0,99
458,-40.68684258346731,0,99
459,-29.886386040326094,0,99
460,501.81244907579855,0,100
461,522.480455807708,0,101
462,-15.453600896216898,0,101
463,-23.521425343569117,0,101
464,511.013510514264,0,102
465,-14.05763674050625,0,102
466,-9.627198600936543,0,102
467,-17.706088913763715,0,102
468,-13.69005356193332,0,102
469,506.77707287858817,0,103
470,517.1280718153034,0,104
471,489.5182743409086,0,105
472,504.6883451881224,0,106
473,501.469198265548,0,107
474,12.658955589649302,0,107
475,-53.55924741887398,0,107
476,512.0860978652247,0,108
477,-19.102877096923244,0,108
478,-15.210499302891032,0,108
479,511.09026878369536,0,109
480,506.0944127608136,0,110
481,-13.841966503623414,0,110
482,-21.880900778022166,0,110
483,-14.868436667049835,0,110
484,506.1678939921045,0,111
485,508.95822032428737,0,112
486,-24.65921840441883,0,112
487,147.26652245299957,0,112
488,-45.39516936991326,0,112
489,2.6968288220231145,0,112
490,-48.17177886910554,0,112
491,531.8465362276262,0,113
492,-63.732676548284445,0,113
493,-37.630372172505076,0,113
494,504.2649246990224,0,114
495,504.9649247879417,0,115
496,504.70189480678056,0,116
497,-80.76699517037682,0,116
498,485.2819894264929,0,117
499,474.81786854905494,0,118
500,487.77410326615797,0,119
501,508.9266607818977,0,120
502,484.4034581266427,0,121
503,506.8246518796443,0,122
504,516.2137058253549,0,123
505,-45.67271544108732,0,123
506,473.63436332670005,0,124
507,506.15084114406903,0,125
508,501.9201930350885,0,126
509,-15.370124250717103,0,126
510,506.3545156034025,0,127
511,-71.74881718614814,0,127
512,-108.4824884989118,0,127
513,507.7562897232125,0,128
514,-41.43480354003084,0,128
515,504.4336403140822,0,129
516,515.1415733876023,0,130
